Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
15832.83,1411.651458,0.970551272,1.314658745,0.000903866,277.16375,0.190558107,42.8487142,0.55,0.05,-18,0,0
17811.93,1402.472917,0.964240759,1.200684128,0.000825505,311.5175,0.214177306,52.02094154,0.576875,0.076875,-27.675,0.045436711,0.048336926
20038.43,1389.180833,0.955102067,1.316686417,0.00090526,350.3120833,0.240849706,65.31244009,0.6,0.1,-36,0,0
22543.23,1373.0175,0.943989307,1.485105484,0.001021053,392.9302083,0.270150901,81.47603601,0.56,0.06,-21.6,0,0
25361.13,1352.212917,0.929685553,1.505113212,0.001034809,440.8064583,0.30306721,102.2781585,0.63,0.13,-46.8,2.12964E-08,2.26558E-08
28531.27,1325.358333,0.911222249,1.433404418,0.000985507,494.87875,0.340243477,129.1296227,0.57875,0.07875,-28.35,0.034247224,0.036433217
32097.68,1291.933542,0.888241736,1.641300068,0.001128441,556.608125,0.38268421,162.5547446,0.64,0.14,-50.4,0,0
36109.89,1250.799167,0.859960662,2.447743932,0.001682895,622.7010417,0.428125005,203.6955407,0.72,0.22,-79.2,1.94409E-08,2.06818E-08
40623.63,1198.398958,0.823934001,1.984001158,0.001364058,694.1783333,0.477267714,256.0887271,0.614166667,0.114166667,-41.1,0.028867513,0.030710121
45701.59,1132.593542,0.77869087,2.081781653,0.001431285,772.6470833,0.531217253,321.8931902,0.69,0.19,-68.4,0,0
51414.29,1049.619375,0.721643727,1.833515872,0.001260595,857.2314583,0.589371461,404.8647768,0.77,0.27,-97.2,0,0
57841.07,949.13125,0.65255523,1.848396228,0.001270826,944.3860417,0.649292762,505.3521304,0.821666667,0.321666667,-115.8,0.109220319,0.116191828
65071.2,824.3045833,0.566733281,2.247444845,0.001545183,1030.519167,0.708511781,630.1794243,0.725625,0.225625,-81.225,0.14016565,0.149112394
73205.1,675.5089583,0.464431978,2.876957051,0.001977991,1108.855625,0.762370365,778.9763544,0.73,0.23,-82.8,1.94409E-08,2.06818E-08
82355.74,509.5616667,0.350338407,4.390155492,0.003018359,1176.694583,0.809011614,944.9285318,0.82,0.32,-115.2,0,0
92650.21,355.3325,0.244301387,5.015100389,0.003448027,1220.540417,0.839156895,1099.158941,0.93,0.43,-154.8,0,0
104231.48,327.00625,0.22482627,4.780484541,0.003286722,1228.190208,0.844416348,1127.483885,0.52,0.02,-7.2,2.53478E-08,2.69658E-08
117260.42,502.8302083,0.345710335,3.837145154,0.002638148,1179.112917,0.810674288,951.6575275,0.59,0.09,-32.4,1.22955E-08,1.30803E-08
131917.97,769.1620833,0.528821214,4.229500729,0.002907904,1063.68,0.731310814,685.3309679,0.66,0.16,-57.6,2.12964E-08,2.26558E-08
148407.72,1046.974167,0.71982507,1.668579257,0.001147197,860.111875,0.591351831,407.5092494,0.74,0.24,-86.4,1.73885E-08,1.84984E-08
166958.69,1282.62875,0.881844423,1.366597927,0.000939576,572.6291667,0.393699141,171.8566837,0.83,0.33,-118.8,4.25929E-08,4.53116E-08
187828.53,1427.798958,0.981653146,1.188833219,0.000817357,213.6754167,0.146908039,26.70751409,0.94,0.44,-158.4,3.47769E-08,3.69967E-08
