Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
57841.07,776.64375,0.533661155,25.76846745,0.017706484,1189.892188,0.817619712,678.3258772,0.87,0.37,-133.2,1.51396E-08,1.6106E-08
65071.2,648.9221875,0.445898862,24.701728,0.016973487,1263.043438,0.86788469,805.936452,0.9078125,0.4078125,-146.8125,0.138604435,0.147451527
73205.1,508.585625,0.349468327,20.46361948,0.014061323,1326.754688,0.911663088,946.1157056,0.8109375,0.3109375,-111.9375,0.155404973,0.165324439
82355.74,355.6625,0.244389092,17.2802578,0.011873916,1373.967188,0.944104574,1098.953368,0.82,0.32,-115.2,0,0
92650.21,206.80875,0.142106077,12.71361798,0.008736005,1404.916875,0.965371269,1247.736023,0.93,0.43,-154.8,0,0
104231.48,176.3025,0.121144084,11.98365877,0.008234423,1411.440313,0.969853769,1278.233676,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
117260.42,349.4759375,0.240138072,17.05743861,0.011720808,1376.448438,0.945809534,1105.135709,0.59,0.09,-32.4,7.5698E-09,8.05298E-09
131917.97,596.01,0.409540906,23.74669485,0.016317248,1288.434375,0.885331759,858.7983736,0.66,0.16,-57.6,1.85421E-08,1.97257E-08
148407.72,886.373125,0.609060339,25.89812615,0.017795577,1114.28125,0.765664591,568.6968739,0.74,0.24,-86.4,1.85421E-08,1.97257E-08
166958.69,1182.503438,0.812542624,18.05921597,0.012409167,805.598125,0.553556796,272.5754681,0.83,0.33,-118.8,3.70843E-08,3.94514E-08
187828.53,1411.064375,0.969595448,3.568492894,0.002452046,322.35125,0.221499678,43.56203204,0.94,0.44,-158.4,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
