Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
8786.1,1428.182813,0.985655306,5.553038828,0.00383241,128.3521875,0.088581807,26.8770964,0.53,0.03,-10.8,1.51396E-08,1.6106E-08
9884.36,1423.936563,0.982724772,5.632127661,0.003886993,143.6984375,0.099172967,31.05837144,0.54,0.04,-14.4,2.14106E-08,2.27773E-08
11119.9,1420.103125,0.980079138,5.785137486,0.003992592,160.89125,0.111038526,34.8602546,0.56,0.06,-21.6,0,0
12509.89,1413.095938,0.975243153,5.828649962,0.004022622,180.219375,0.124377763,41.79250877,0.56,0.06,-21.6,0,0
14073.63,1405.585,0.970059506,6.179193496,0.004264548,201.9903125,0.139402898,49.28390668,0.56,0.06,-21.6,0,0
15832.83,1395.7275,0.963256387,6.624144984,0.00457163,226.2140625,0.156120833,59.12474569,0.55,0.05,-18,0,0
17811.93,1384.4775,0.955492239,7.224200369,0.004985756,252.9678125,0.174584839,70.37427852,0.5384375,0.0384375,-13.8375,0.026653012,0.028354268
20038.43,1369.15125,0.944914882,8.01443969,0.005531137,283.2953125,0.195515256,85.70429873,0.6,0.1,-36,0,0
22543.23,1350.930938,0.932340198,9.267634754,0.006396025,315.7159375,0.217890235,103.9629617,0.56,0.06,-21.6,0,0
25361.13,1327.940625,0.916473516,11.37478959,0.007850271,352.5146875,0.243286762,127.0495937,0.63,0.13,-46.8,1.31113E-08,1.39482E-08
28531.27,1298.781563,0.896349492,13.18134755,0.00909706,392.910625,0.271165875,156.2554043,0.57,0.07,-25.2,0,0
32097.68,1263.745938,0.872169779,15.56942534,0.010745184,435.5925,0.30062262,191.3684655,0.64,0.14,-50.4,0,0
36109.89,1221.2725,0.842856887,19.01740968,0.013124798,481.2375,0.332124355,233.9816231,0.714375,0.214375,-77.175,0.031819805,0.033850857
40623.63,1169.935,0.807426493,22.47577865,0.015511579,531.0790625,0.366522333,285.4312836,0.61,0.11,-39.6,1.07053E-08,1.13886E-08
45701.59,1109.884063,0.765982552,25.8872665,0.017866005,581.6484375,0.401422608,345.566941,0.69,0.19,-68.4,1.07053E-08,1.13886E-08
51414.29,1040.33875,0.717986101,30.07389949,0.020755395,632.926875,0.436812239,415.2317598,0.77,0.27,-97.2,2.39378E-08,2.54657E-08
57841.07,960.88,0.663147926,35.55295532,0.024536746,683.0875,0.471430417,494.8787454,0.6253125,0.1253125,-45.1125,0.106981589,0.113810202
65071.2,872.534375,0.602176506,39.58393409,0.027318712,732.70875,0.505676347,583.2903208,0.65,0.15,-54,7.5698E-09,8.05298E-09
73205.1,779.608125,0.538043784,45.97872562,0.031732055,777.165625,0.536358101,676.4363169,0.73,0.23,-82.8,0,0
82355.74,693.3390625,0.478505496,51.49647933,0.035540113,811.3003125,0.559916035,762.880996,0.82,0.32,-115.2,0,0
92650.21,631.40625,0.435762785,55.59602119,0.038369397,833.3684375,0.575146273,824.9492806,0.93,0.43,-154.8,0,0
104231.48,622.3065625,0.429482668,57.0459535,0.039370063,837.43625,0.57795366,834.1264118,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
117260.42,689.16125,0.475622194,52.20419818,0.036028542,813.4003125,0.561365343,767.0971695,0.59,0.09,-32.4,7.5698E-09,8.05298E-09
131917.97,836.74375,0.577475733,41.39846972,0.028571007,750.86125,0.51820423,619.1218845,0.66,0.16,-57.6,1.85421E-08,1.97257E-08
148407.72,1037.885625,0.716293085,29.58051919,0.02041489,634.81,0.438111871,417.6432454,0.74,0.24,-86.4,1.85421E-08,1.97257E-08
166958.69,1253.830625,0.865326762,16.76853235,0.011572743,447.2684375,0.308680727,201.34884,0.83,0.33,-118.8,3.70843E-08,3.94514E-08
187828.53,1415.214375,0.976705185,5.882462145,0.00405976,175.5578125,0.121160602,39.70381175,0.94,0.44,-158.4,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
